,0
587,"2D reentrant micro-honeycomb structure of graphene-CNT in polyurethane: High stretchability, superior electrical/thermal conductivity, and improved shape memory properties"
588,Effective de-icing skin using graphene-based flexible heater
589,3D honeycomb nanostructure-encapsulated magnesium alloys with superior corrosion resistance and mechanical properties
590,FRP-confined tuff masonry columns: regular and irregular stone arrangement
591,Flexural damage behavior of CF/PA6 plain woven laminates with different layers
592,Ballistic performance of Kevlar fabric impregnated with nanosilica/PEG shear thickening fluid
593,An experimental study on the compressive response of CFRP honeycombs with various cell configurations
594,Selective localization of aluminum oxide at interface and its effect on thermal conductivity in polypropylene/polyolefin elastomer blends
595,Gelatin/alginate composite nanofiber membranes for effective and even adsorption of cationic dyes
596,Constructing bioinspired hierarchical structure in polymer based energetic composites with superior thermal conductivity
597,"Fully exfoliated graphene oxide accelerates epoxy resin curing, and results in dramatic improvement of the polymer mechanical properties"
598,Graphene oxide and amin-modified graphene oxide incorporated chitosan-gelatin scaffolds as promising materials for tissue engineering
599,Tailored fibre placement of carbon fibre rovings for reinforced polypropylene composite part 1: PP infusion of carbon reinforcement
600,Multifunctional application of carbon fiber reinforced polymer composites: Electrical properties of the reinforcing carbon fibers – A short review
601,"Solid matrices for fabrication of magnetic iron oxide nanocomposites: Synthesis, properties, and application for the adsorption of heavy metal ions and dyes"
602,Effect of corroded tension reinforcements on flexural performance of reinforced recycled aggregate concrete beams strengthened with CFRP
603,Graphene inks for the 3D printing of cell culture scaffolds and related molecular arrays
604,Editorial Board
605,Anomalous dichroism of cellulose nanowhisker embedded composite film
606,Stress-strain model for FRP-confined concrete subject to arbitrary load path
607,Facile preparation and high capacitance performance of copper sulfide microspheres as supercapacitor electrode material
608,Shear strength components of adjustable hybrid bonded CFRP shear-strengthened RC beams
609,Novel non-destructive evaluation technique for the detection of poor dispersion of carbon nanotubes in nanocomposites
610,Effects of Fe doping on the photoelectrochemical properties of CuO photoelectrodes
611,Metal organic framework (ZIF-67)-derived hollow CoS2/N-doped carbon nanotube composites for extraordinary electromagnetic wave absorption
612,Thermal and mechanical properties of copper-graphite and copper-reduced graphene oxide composites
613,Role of interface formation versus fibres properties in the mechanical behaviour of bio-based composites manufactured by Liquid Composite Molding processes
614,Prismatic RC columns externally confined with FRP sheets and pre-tensioned basalt fiber ropes under cyclic axial load
615,Mechanical property of re-entrant anti-trichiral honeycombs under large deformation
616,Geometrically nonlinear dynamic analysis of organic solar cell resting on Winkler-Pasternak elastic foundation under thermal environment
617,Experimental investigation of macroscopic material nonlinear behavior and microscopic void volume fraction change for porous materials under uniaxial compression
618,Interface model of the influence of particle size on the plastic deformation resistance of particle-reinforced metal-matrix composites
619,Transient wave propagation in Cosserat-type shells
620,Magnesium-iron micro-composite for enhanced shielding of electromagnetic pollution
621,Porous germanium enabled high areal capacity anode for lithium-ion batteries
622,Thermomechanical and dynamic mechanical properties of bamboo/woven kenaf mat reinforced epoxy hybrid composites
623,Interlaminar fracture toughness of GLARE laminates based on asymmetric double cantilever beam (ADCB)
624,Stretchable and patchable composite electrode with trimethylolpropane formal acrylate-based polymer
625,Mechanism of surface preparation on FRP-Concrete bond performance: A quantitative study
626,Improvement in adhesion of cellulose fibers to the thermoplastic starch matrix by plasma treatment modification
627,New technique of friction-based filling stacking joining for metal and polymer
628,High tribology performance of Poly(vinylidene fluoride) composites based on three-dimensional mesoporous magnesium oxide nanosheets
629,A computer simulation of stress transfer in carbon nanotube/polymer nanocomposites
630,A study of the influence of processing parameters on steering of carbon Fibre/PEEK tapes using laser-assisted tape placement
631,Prediction of strength and constitutive response of SiC/SiC composites considering fiber failure
632,"Improving the mechanical properties, UV and hydrothermal aging resistance of PIPD fiber using MXene (Ti3C2(OH)2) nanosheets"
633,Exact dynamic characteristic analysis of a double-beam system interconnected by a viscoelastic layer
634,Effect of styrene-butadiene rubber latex on the rheological behavior and pore structure of cement paste
635,"Towards solution-processable, thermally robust, transparent polyimide-chain-end tethered organosilicate nanohybrids"
636,Calibration of hyperelastic and hyperfoam constitutive models for an indentation event of rigid polyurethane foam
637,New energy harvester with embedded piezoelectric stacks
638,Improved knockdown factors for composite cylindrical shells with delamination and geometric imperfections
639,Seismic behavior of concrete moment frame reinforced with GFRP bars
640,Fundamental properties of bitumen binders containing novel cellulose-based poly-functional fibres
641,Effect of early age curing carbonation on the mechanical properties and durability of high initial strength Portland cement and lime-pozolan composites reinforced with long sisal fibres
642,Thermal conductivity enhancement of CNT/MoS2/graphene−epoxy nanocomposites based on structural synergistic effects and interpenetrating network
643,Large amplitude thermally induced vibrations of temperature dependent annular FGM plates
644,Microstructure-based modelling of fracture of particulate reinforced metal matrix composites
645,A method to predict the ultimate tensile strength of 3D printing polylactic acid (PLA) materials with different printing orientations
646,Meso-scale modelling and failure analysis of kenaf fiber reinforced composites under high strain rate compression loading
647,Strength hierarchy provisions for transverse confinement systems of shell structural elements
648,Green synthesis and characterization of MnCo2O4/Co2Mn3O8 ceramic nanocomposites and investigation of their cytotoxicity on the 4T1 cells
649,Simultaneous enhancement of mechanical and electrical properties of carbon nanotube fiber by infiltration and subsequent carbonization of resorcinol-formaldehyde resin
650,"Influence of high temperature on strength, ultrasonic velocity and mass loss of calcium carbonate whisker reinforced cement paste"
651,The evolution of carbon fibers with Fe3+ doping and effects on the mechanical properties of Cf/BAS composites
652,Low velocity impact and compression after impact properties of hybrid bio-composites modified with multi-walled carbon nanotubes
653,Three-dimensional carbon foam surrounded by carbon nanotubes and Co-Co3O4 nanoparticles for stable lithium-ion batteries
654,RETRACTED: Experimental investigation of parameters affected on behavior of composite tubes under quasi static and dynamic axial loading
655,Influence of fiber mixture on impact response of ultra-high-performance hybrid fiber reinforced cementitious composite
656,Performance-based design and optimization of rheological and strength properties of self-compacting cement composite incorporating micro/ nano admixtures
657,"The effect of amino-silane coupling agents having different molecular structures on the mechanical properties of basalt fiber-reinforced polyamide 6,6 composites"
658,Explicit numerical modeling assessment of basalt reinforced composites for low-velocity impact
659,Fatigue life reduction of GFRP composites due to delamination associated with the introduction of functional discontinuities
660,Effects of ring supports on vibration of armchair and zigzag FGM rotating carbon nanotubes using Galerkin's method
661,Characterization of chicken bone waste-derived hydroxyapatite and its functionality on chitosan membrane for guided bone regeneration
662,Free vibration analysis of functionally graded rotating conical shells in thermal environment
663,Laser additive manufacturing of nano-TiC reinforced Ni-based nanocomposites with tailored microstructure and performance
664,Broadband microwave absorption of Fe3O4BaTiO3 composites enhanced by interfacial polarization and impedance matching
665,Customized shear test for bond-slip characterization of EBR FRP-concrete system: Influence of substrate aggregate type
666,A semi-analytical solution for bending response of SMA composite beams considering SMA asymmetric behavior
667,Effects of low-temperature sintering on surface morphology and electrical performance of silver nanoparticle/carbon nanotube composite films
668,Damage and failure mechanism of thin composite laminates under low-velocity impact and compression-after-impact loading conditions
669,Cork-wood hybrid filler system for polypropylene and poly(lactic acid) based injection molded composites. Structure evaluation and mechanical performance
670,Low-velocity impact behaviors of repaired CFRP laminates: Effect of impact location and external patch configurations
671,"An extended model to predict the compressive, tensile and flexural strengths of HPFRCs and UHPFRCs: Definition and experimental validation"
672,Performance evaluation of smart grid fabrics comprising carbon dry fabrics and PVDF ribbon sensors for structural health monitoring
673,Nonlinear creep behaviour of glass fiber reinforced polypropylene: Impact of aging on stiffness degradation
674,Ultraviolet response of reduced graphene oxide/natural cellulose yarns with high flexibility
675,Preparation and characterization of graphene oxide/silk fibroin hybrid aerogel for dye and heavy metal adsorption
676,Recyclable thermoplastic hexagonal boron nitride composites with high thermal conductivity
677,"Synergetic effect of graphene nanoplatelet, carbon fiber and coupling agent addition on the tribological, mechanical and thermal properties of polyamide 6,6 composites"
678,Dynamic mechanical behavior and pedestrian safety characteristics of toughened laminated windshield
679,Gamma irradiated poly (methyl methacrylate)-reduced graphene oxide composite thin films for multifunctional applications
680,Multilayer cotton fabric bio-composites based on PLA and PHB copolymer for industrial load carrying applications
681,Tooling materials compatible with carbon fibre composites in a microwave environment
682,Influence of material uncertainties on vibration and bending behaviour of skewed sandwich FGM plates
683,Editorial Board
684,"Thermal properties of doubly reinforced fiberglass/epoxy composites with graphene nanoplatelets, graphene oxide and reduced-graphene oxide"
685,"Magnetic mesoporous MCM-41 supported boric acid: A novel, efficient and ecofriendly nanocomposite"
686,Facile fabrication of mechanically-strong and flame retardant alginate/clay aerogels
687,Shear-induced rheological and electrical properties of molten poly(methyl methacrylate)/carbon black nanocomposites
688,Influence of ultrasonication on the dispersion and enhancing effect of graphene oxide–carbon nanotube hybrid nanoreinforcement in cementitious composite
689,Mechanistic study of energy dependent scattering and hole-phonon interaction at hybrid polymer composite interfaces for optimized thermoelectric performance
690,Low velocity impact behaviour of reinforced plastic laminates: Indentation and penetration laws validated for different fibres and matrices
691,Carbon nanotubes as a player to improve mechanical shock wave absorption
692,Design and behavior of super-long span cable-stayed bridge with CFRP cables and UHPC members
693,Assessing the structural integrity of carbon-fibre sandwich panels in fire: Bench-scale approach
694,Performance of high-modulus near-surface-mounted FRP laminates for strengthening of concrete columns
695,Dynamic compression behavior of glass filled epoxy composites: Influence of filler shape and exposure to high temperature
696,Models for estimating the thermal properties of electric heating concrete containing steel fiber and graphite
697,Synthesis of deformable hydrogel composites based on Janus bilayer multi-walled carbon nanotubes/host-guest complex structure
698,The connection between microscopic and macroscopic properties of ultra-high strength and ultra-high ductility cementitious composites (UHS-UHDCC)
699,"Influence of calcium carbonate on polyamide 12 regarding melting, formability and crystallization properties"
700,Experimental and numerical analysis of the mechanical behaviors of large scale composite C-Beams fastened with multi-bolt joints under four-point bending load
701,Effects of combined usage of GGBS and fly ash on workability and mechanical properties of alkali activated geopolymer concrete with recycled aggregate
702,Fatigue behavior of short carbon fiber reinforced epoxy composites
703,Soft grasping mechanisms composed of shape memory polymer based self-bending units
704,Ultra-fast sintered functionally graded Fe/W composites for the first wall of future fusion reactors
705,Porosity-dependent nonlinear transient responses of functionally graded nanoplates using isogeometric analysis
706,Dynamic instability of Euler–Bernoulli nanobeams subject to parametric excitation
707,Contribution of externally bonded FRP shear reinforcement to the shear strength of RC beams
708,Vibration analysis of functionally graded porous cylindrical shell with arbitrary boundary restraints by using a semi analytical method
709,Graphene oxide-reinforced aluminium-matrix nanostructured composites fabricated by accumulative roll bonding
710,Basalt powder as an eco-friendly filler for epoxy composites: Thermal and thermo-mechanical properties assessment
711,Experimental investigation on bending behavior of honeycomb sandwich panel with ceramic tile face-sheet
712,Effect of viscoelasticity on interfacial stress transfer mechanism in the biocomposites: A theoretical study of viscoelastic shear lag model
713,Topology optimization-guided stiffening of composites realized through Automated Fiber Placement
714,Graphene-mediated organic-inorganic composites with improved hydroxide conductivity and outstanding alkaline stability for anion exchange membranes
715,Full-range mechanical behavior study of FRP-to-concrete interface for pull-pull bonded joints
716,Experimental study on mechanical and ballistic behaviours of silicon carbide reinforced functionally graded aluminum foam composites
717,Research on simple joint method using fiber-metal laminate design for improved mechanical properties of CFRP assembly structure
718,Controllable mechanical properties of epoxy composites by incorporating self-assembled carbon nanotube–montmorillonite
719,Experimental and analytical investigation on CFRP strengthened glulam laminated timber beams: Full-scale experiments
720,A facile approach to prepare phosphorus and nitrogen containing macromolecular covalent organic nanosheets for enhancing flame retardancy and mechanical property of epoxy resin
721,Thermoelastic analysis of FG-GPLRC spherical shells under thermo-mechanical loadings based on Lord-Shulman theory
722,Molecular dynamics and micromechanics study of hygroelastic behavior in graphene oxide-epoxy nanocomposites
723,Prediction of the ultimate strength of quasi-isotropic TP-based laminates structures from tensile and compressive fracture toughness at high temperature
724,"Hybrid composite mats composed of amorphous carbon, zinc oxide nanorods and nickel zinc ferrite for tunable electromagnetic interference shielding"
725,Bioinspired fiber-regulated composite with tunable permanent shape and shape memory properties via 3d magnetic printing
726,Electromagnetic interference shielding performance of polyurethane composites: A comparative study of GNs-IL/Fe3O4 and MWCNTs-IL/Fe3O4 hybrid fillers
727,Electrochemical surface modification of polyacrylonitrile-based ultrahigh modulus carbon fibers and its effect on the interfacial properties of UHMCF/EP composites
728,"Structural, mechanical and thermal characteristics of Al-Cu-Li particle reinforced Al-matrix composites synthesized by microwave sintering and hot extrusion"
729,Influences of aggregate micro fines on the packing of fresh mortar and the performances of mortar
730,Surface properties of Ce-TZP/Al2O3 composite ceramics by coating mesoporous bioactive glass
731,The synergistic effect of dilute alloying and nanostructuring of copper on the improvement of mechanical and tribological response
732,The mechanical properties of monodisperse foam scaffolds
733,Experimental study on the tensile behavior of unidirectional and plain weave CFRP laminates under different strain rates
734,Carbon nanotube – Carbon fiber reinforced polymer composites with extended fatigue life
735,"In-situ TiB/Ti-6Al-4V composites with a tailored architecture produced by hot isostatic pressing: Microstructure evolution, enhanced tensile properties and strengthening mechanisms"
736,"Prediction of electrical conductivity, double percolation limit and electromagnetic interference shielding effectiveness of copper nanowire filled flexible polymer blend nanocomposites"
737,"Analysis of microstructural, thermal and mechanical properties of unidirectional glass fiber fabrics exhibiting sizing migration"
738,High-performance α-Fe2O3/C composite anodes for lithium-ion batteries synthesized by hydrothermal carbonization glucose method used pickled iron oxide red as raw material
739,Enhanced electromagnetic absorbing performance of MOF-derived Ni/NiO/[email protected] composites
740,A stress-driven local-nonlocal mixture model for Timoshenko nano-beams
741,A reliability-based optimization approach for material and thickness composition of multidirectional functionally graded plates
742,Yield and failure theory for unidirectional polymer-matrix composites
743,"Effects of thermal shock on the microstructures, mechanical and thermophysical properties of SiCnws-C/C composites"
744,Development of short basalt fiber reinforced polylactide composites and their feasible evaluation for 3D printing applications
745,Non-aligned ZnO nanowires composited with reduced graphene oxide and single-walled carbon nanotubes for highly responsive UV–visible photodetectors
746,Piezoresistive sensing in chopped carbon fiber embedded PDMS yarns
747,Molecular dynamics studies of the mechanical behaviors and thermal conductivity of the DGEBA/MTHPA/CNB composites
748,Nonlocal strain gradient exact solutions for functionally graded inflected nano-beams
749,Superior electro-optics of nano-phase encapsulated liquid crystals utilizing functionalized carbon nanotubes
750,"Oleo-polyurethane-carbon nanocomposites: Effects of in-situ polymerization and sustainable precursor on structure, mechanical, thermal, and antimicrobial surface-activity"
751,Computational modeling for cure process of carbon epoxy composite block
752,Power generation by PVDF-TrFE/graphene nanocomposite films
753,Plasma-assisted mechanochemistry to produce polyamide/boron nitride nanocomposites with high thermal conductivities and mechanical properties
754,Improving damping property of carbon-fiber reinforced epoxy composite through novel hybrid epoxy-polyurea interfacial reaction
755,Enhanced thermal conductivities and decreased thermal resistances of functionalized boron nitride/polyimide composites
756,Aluminum-sulfur composites for LiS batteries with a high-rate performance
757,Effect of slag on the mechanical properties and bond strength of fly ash-based engineered geopolymer composites
758,Investigation of the premature failure behavior of a cured draped hemisphere due to the deformation of microstructures of fabric composites
759,Fabrication and bending behavior of amorphous SiC-fiber-reinforced Si-Co eutectic alloy composites at elevated temperatures
760,On vibration and stability analysis of porous plates reinforced by graphene platelets under aerodynamical loading
761,The role of alumina-zirconia loading on the mechanical and biological properties of UHMWPE for biomedical applications
762,Damping additives used in cement-matrix composites: A review
763,Connections and structural applications of fibre reinforced polymer composites for civil infrastructure in aggressive environments
764,Improvement of thermal behaviors of biodegradable poly(lactic acid) polymer: A review
765,Retraction notice to “The experimental investigations of propriety and applies in the building special coating – Sulfur polymer composite as the industrial waste material” [Compos. Part B 58 (2014) 378–385]
766,Retraction notice to “The intensity of corrosion processes influenced by tensile stress for reinforcing steel covered with sulphur polymer composite applied as industrial waste material” [Compos. Part B Eng. 45 (1) (2013) 1126–1132]
767,Retraction notice to The influence of penetrating special polymer sulfur binder – Polymerized sulfur applied as the industrial waste material on concrete watertightness [Compos. Part B 65 (2014) 137–142]
768,Retraction notice to “Synthesis and microwave absorbing mechanism of two-layer microwave absorbers containing Li0.35Zn0.3Fe2.35O4 micro-belts and nickel-coated carbon fibers” [JCOMB 50 (2013) 62–66]
769,Editorial Board
770,Durability of steel-CFRP structural adhesive joints with polyurethane adhesives
771,Utilization of volcanic amorphous aluminosilicate rocks (perlite) as alternative materials in lightweight composites
772,Optimization of two-step techniques engineered for the preparation of polyamide 6 graphene oxide nanocomposites
773,A comparative study on effects of natural and synthesised nano-clays on the fire and mechanical properties of epoxy composites
774,Improving the 3D printability of high volume fly ash mixtures via the use of nano attapulgite clay
775,Damage mode identification in transverse crack tension specimens using acoustic emission and correlation with finite element progressive damage model
776,The effect of the monomer functionality on the mechanical performance and polymer morphology of polymer stabilized blue phases
777,Comparison of falling dart and Charpy impacts performances of compatibilized and not compatibilized polypropylene/woven glass fibres composites
778,Multi-scale reinforcement of epoxy composites - Use of carbon fibre fabrics coated with an epoxy binder containing MWCNTs for improved interlaminar fracture resistance
779,New sound absorbent composite materials based on sawdust and polyurethane foam
780,Internal damage evaluation of composite structures using phased array ultrasonic technique: Impact damage assessment in CFRP and 3D printed reinforced composites
781,Nanodiamonds reinforced titanium matrix nanocomposites with network architecture
782,A modified series solution for free vibration analyses of moderately thick functionally graded porous (FGP) deep curved and straight beams
783,Quantitative study of local heat sources by Ultrasonic Infrared Thermography: An approach for estimating total energy released by low energy impact damage in C/C composite
784,High-toughness PLA/Bamboo cellulose nanowhiskers bionanocomposite strengthened with silylated ultrafine bamboo-char
785,Through-thickness thermal conductivity enhancement and tensile response of carbon fiber-reinforced polymer composites
786,Biodegradable copolymer-based composites made from straw fiber for biocomposite flowerpots application
787,Elasto-plastic constitutive equations for short fiber reinforced polymers
788,A modified method of pulse-shaper technique applied in SHPB
789,Critical thrust force and critical feed rate in drilling flax fibre composites: A comparative study of various thrust force models
790,Coupling effects in transient analysis of FGM plates bending in non-classical thermoelasticity
791,Exploration of energy absorption and viscoelastic behavior of CFRPs subjected to low velocity impact
792,Low-velocity impact response of viscoelastic material filled FG honeycomb reinforced laminate plate in hygrothermal environments
793,Synthesis and compressive behaviors of PMMA microporous foam with multi-layer cell structure
794,Theory-based approaches and microstructural analysis to evaluate the service life-retention of stressed carbon fiber composite strands for concrete bridge applications
795,Synergistic improvement of epoxy composites with multi-walled carbon nanotubes and hyperbranched polymers
796,Numerical investigation of impact-induced damage of auxiliary composite fuel tanks on Korean Utility Helicopter
797,Cracking resistance and mechanical properties of basalt fibers reinforced cement-stabilized macadam
798,2-D constitutive equations for orthotropic Cosserat type laminated shells in finite element analysis
799,Effect of surface treatment on quasi-static compression and dynamic mechanical analysis of syntactic foams
800,Improvement of the mode I interlaminar fracture toughness of carbon fiber composite reinforced with electrospun nylon nanofiber
801,Reinforcement of CFRP joints with fibre metal laminates and additional adhesive layers
802,Processing of nanocomposites using supercritical fluid assisted extrusion for stress/strain sensing applications
803,Improved flame resistance and thermo-mechanical properties of epoxy resin nanocomposites from functionalized graphene oxide via self-assembly in water
804,Stress transfer through the interphase in curved-fiber pullout tests of nanocomposites
805,Magneto-thermal primary frequency response analysis of carbon nanotube considering surface effect under different boundary conditions
806,Free vibrations of composite sandwich plates by Chebyshev collocation technique
807,A strategy for modelling mechanochemically induced unzipping and scission of chemical bonds in double-network polymer composite
808,Preparation and characterization of mesophase formation of pyrolysis fuel oil-derived binder pitches for carbon composites
809,Nonlinear dynamic behavior of single-layer graphene under uniformly distributed loads
810,Enhanced mechanical and tribological properties of graphene/bismaleimide composites by using reduced graphene oxide with non-covalent functionalization
811,Eco-friendly synthesis of cobalt hexaferrite and improvement of photocatalytic activity by preparation of carbonic-based nanocomposites for waste-water treatment
812,Introduction of primary chemical bonding in lignin-based PP composites for mechanical reinforcement via reactive extrusion
813,"Influence of silver nanoparticles on the mechanical, thermal and antimicrobial properties of cellulose-based hybrid nanocomposites"
814,Enhanced tendon to bone healing in rotator cuff tear by PLLA/CPS composite films prepared by a simple melt-pressing method: An in vitro and in vivo study
815,Enhancing the fracture toughness of hierarchical composites through amino‒functionalised carbon nanotube webs
816,Pull-off characterization of FRCM/Concrete interface
817,A discrete crack informed 3D continuum damage model and its application for delamination migration in composite laminates
818,Mechanical properties and deformation behaviour of early age concrete in the context of digital construction
819,Influence of hydrothermal ageing on the mechanical properties of an adhesively bonded joint with different adherends
820,Time-dependent wrinkle formation during tow steering in automated fiber placement
821,Bio-inspired bimaterial composites patterned using three-dimensional printing
822,Toughening and enhancing mechanical and thermal properties of adhesives and glass-fiber reinforced epoxy composites by brominated epoxy
823,Plasticity properties of thermally modified timber in bending – The effect of chemical changes during modification of European oak and Norway spruce
824,Numerical and theoretical analysis of honeycomb structure filled with circular aluminum tubes subjected to axial compression
825,A comparative study on gamma photon shielding features of various germanate glass systems
826,Modeling of composite and sandwich beams with a generic cross-section using a variable separation method
827,Synergistic effect of hybrid stainless steel fiber and carbon nanotube on mechanical properties and electromagnetic interference shielding of polypropylene nanocomposites
828,Porous polyaniline/carbon nanotube composite electrode for supercapacitors with outstanding rate capability and cyclic stability
829,In-situ monitoring of corrosion-induced expansion and mass loss of steel bar in steel fiber reinforced concrete using a distributed fiber optic sensor
830,About the fatigue endurance of unidirectional flax-epoxy composite laminates
831,Finite element analysis of tensile and puncture behaviours of geosynthetic cementitious composite mat (GCCM)
832,Heat-treated blue agave fiber composites
833,Highly improved interfacial affinity in carbon fiber-reinforced polymer composites via oxygen and nitrogen plasma-assisted mechanochemistry
834,Design of variable stiffness composite structures using lamination parameters with fiber steering constraint
835,The effect of gold electrode thicknesses on electromechanical performance of Nafion-based Ionic Polymer Metal Composite actuators
836,Life prediction of a notched composite ring using progressive fatigue damage models
837,A study on the microstructural changes and mechanical behaviors of carbon fibers induced by optimized electrochemical etching
838,Copper flake-coated cellulose scaffold to construct segregated network for enhancing thermal conductivity of epoxy composites
839,Resistance welding of thermoplastic composites with a nanocomposite heating element
840,Computational hygro-thermal vibration and buckling analysis of functionally graded sandwich microbeams
841,Vibrational behavior of doubly curved smart sandwich shells with FG-CNTRC face sheets and FG porous core
842,The recent progress on three-dimensional porous graphene-based hybrid structure for supercapacitor
843,Natural zeolite and its application in concrete composite production
844,"Corrigendum to “The effect of Manganese Doping on Structural, Optical, and Photocatalytic Activity of Zinc Oxide Nanoparticles” [Composites B. In Press.]"
845,Editorial Board
846,Nonlocal bending analysis of curved nanobeams reinforced by graphene nanoplatelets
847,Creep behavior of concrete containing glass powder
848,Investigation on effect of chemical composition of bio-fillers on filler/matrix interaction and properties of particle reinforced composites using FTIR
849,Effect of moisture absorption and temperature on quasi-static and fatigue behavior of nonwoven flax epoxy composite
850,Flexible high-temperature sheet-type electric heaters using m-aramid/functionalized MWCNTs hybrid nanofiber composites
851,Thickness assessment and statistical optimization of a 3-layered armor system with ceramic front and curaua fabric composite/aluminum alloy backing
852,"Influence of various forms of polypropylene matrix (fiber, powder and film states) on the flexural strength of carbon-polypropylene composites"
853,Stretchability and compressibility of a novel layout design for flexible electronics based on bended wrinkle geometries
854,Nanostructured CuO/Co2O4@ nitrogen doped MWCNT hybrid composite electrode for high-performance supercapacitors
855,Microstructure and phase transformation of graphene-cement composites under high temperature
856,Lightweight NiFe2O4-Reduced Graphene Oxide-Elastomer Nanocomposite flexible sheet for electromagnetic interference shielding application
857,"Green synthesis of Cu/Al2O3 nanoparticles as efficient and recyclable catalyst for reduction of 2,4-dinitrophenylhydrazine, Methylene blue and Congo red"
858,"Morphology, thermal, mechanical properties and ageing of nylon 6,6/graphene nanofibers as Nano2 materials"
859,Analysis of inclusion in thermoelectric materials: The thermal stress field and the effect of inclusion on thermoelectric properties
860,"Mechanical property evaluations of flexible laminated composites reinforced by high-performance Kevlar filaments: Tensile strength, peel load, and static puncture resistance"
861,Post-buckling induced delamination propagation of composite laminates with bi-nonlinear properties and anti-penetrating interaction effects
862,The influence of the use of technological waste on the mechanical behavior of fibrous polymer composite
863,Optimal design of sandwich panels with layered-gradient aluminum foam cores under air-blast loading
864,A green fabrication and variable temperature electromagnetic properties for thermal stable microwave absorption towards flower-like Co3O4@rGO/SiO2 composites
865,Rational design of multifunctional properties for styrene-butadiene rubber reinforced by modified Kevlar nanofibers
866,"A comparative study on the structural, dielectric and multiferroic properties of Co0.6Cu0.3Zn0.1Fe2O4/Ba0.9Sr0.1Zr0.1Ti0.9O3 composite ceramics"
867,Effective properties of composite material based on total strain energy equivalence
868,Preforming behaviors of carbon fiber fabrics with different contents of binder and under various process parameters
869,A nonlocal finite element model for buckling and vibration of functionally graded nanobeams
870,Computational modelling of postbuckling behavior of composite T-stiffened panels with different bonding methods
871,Damage assessment studies in CFRP composite laminate with cut-out subjected to in-plane shear loading
872,"The mechanical, hygral, and interfacial strength of continuous bamboo fiber reinforced epoxy composites"
873,The transient response of car body and side windows for high-speed trains passing by each other in a tunnel
874,Constitutive model and reinforcing mechanisms of uniaxial compressive property for reactive powder concrete with super-fine stainless wire
875,Functionally graded graphene reinforced porous nanocomposite curved beams: Bending and elastic stability using a higher-order model with thickness stretch effect
876,FeNi3/SiO2 magnetic nanocomposite as an efficient and recyclable heterogeneous fenton-like catalyst for the oxidation of metronidazole in neutral environments: Adsorption and degradation studies
877,Efficiency and corrosion characteristics of high performance cementitious composites as a strengthening material
878,Synergistic icephobic behaviour of swollen nitrile butadiene rubber graphene and/or carbon nanotube composites
879,"The effect of manganese doping on structural, optical, and photocatalytic activity of zinc oxide nanoparticles"
880,"Synergistic effect of Fe3O4 anchored N-doped rGO hybrid on mechanical, thermal and electromagnetic shielding properties of epoxy composites"
881,"Exploitation of Egyptian insecticide cans in the fabrication of Si/Fe nanostructures and their chitosan polymer composites for the removal of Ni(II), Cu(II), and Zn(II) ions from aqueous solutions"
882,Experimental study and analysis of machinability characteristics of metal matrix composites during drilling
883,Vibration and buckling behaviours of thin-walled composite and functionally graded sandwich I-beams
884,Experimental study on thermal expansion coefficient of composite multi-layered flaky gun propellants
885,"Extraction, characterization and thermal degradation kinetics with activation energy of untreated and alkali treated Saccharum spontaneum (Kans grass) fiber"
886,Experimental studies on through-thickness shear behavior of EPS based precast concrete sandwich panels with truss shear connectors
887,Effective induction of death in breast cancer cells with magnetite NiCo2O4/NiO nanocomposite
888,Honeycomb-like Co/C composites derived from hierarchically nanoporous ZIF-67 as a lightweight and highly efficient microwave absorber
889,"Investigation of the effect of use of Nano-Al2O3, Nano-TiO2 and Nano-SiO2 powders on strength of single lap joints bonded with epoxy adhesive"
890,Strain rate dependent mechanical behavior of glass fiber reinforced polypropylene composites and its effect on the performance of automotive bumper beam structure
891,Dynamic response of Carbon-Nanotube-Reinforced-Polymer materials based on multiscale finite element analysis
892,Engineering molecular interaction in polymeric hybrids: Effect of thermal linker and polymer chain structure on thermal conduction
893,The influence of matrix crystallinity on the mechanical performance of short-fibre composites – Based on homo-polypropylene and a random polypropylene copolymer reinforced with man-made cellulose and glass fibres
894,Central composite design (CCD)-Response surface methodology (RSM) of effective electrospinning parameters on PVP-B-Hf hybrid nanofibrous composites for synthesis of HfB2-based composite nanofibers
895,Experimental testing of the tensile elastic properties of cellulose braided composites
896,Reliability of CO2 electrolysis by solid oxide electrolysis cells with a flat tube based on a composite double-sided air electrode
897,Determination of fatigue life of the unidirectional GFRP/Al hybrid composite laminates
898,Modeling of transversely isotropic properties of CNT-polymer composites using meso-scale FEM approach
899,Seismic retrofitting of damaged RC columns with lap-spliced bars using FRP sheets
900,"Pore-interconnected hollow (Sn,Ti)O2 solid-solution nanoparticles for lithium-ion battery anode materials"
901,Combination effect of zirconium phosphate nanosheet and PU-coated carbon fiber on flame retardancy and thermal behavior of PA46/PPO alloy
902,Influence of microencapsulated phase change materials on the flexural behavior and micromechanical impact damage of hybrid fibre reinforced engineered cementitious composites
903,Carbon nanomaterials enabled fiber sensors: A structure-oriented strategy for highly sensitive and versatile in situ monitoring of composite curing process
904,Development of novel bio-based epoxides from microalgae Nannochloropsis gaditana lipids
905,Preparation of modified graphene oxide/polyethyleneimine film with enhanced hydrogen barrier properties by reactive layer-by-layer self-assembly
